"","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"1","Historical","Historical","Historical",2002,17459.0671575631,19311.8081320113,21833.9613617741,"Historical Historical Historical"
"2","Historical","Historical","Historical",2003,18713.4845848166,20622.2691541927,23255.6923190495,"Historical Historical Historical"
"3","Historical","Historical","Historical",2004,19920.7278616319,21926.5382272158,24717.5280978466,"Historical Historical Historical"
"4","Historical","Historical","Historical",2005,20848.6702324405,22993.5344564753,25996.7439105807,"Historical Historical Historical"
"5","Historical","Historical","Historical",2006,21580.3210659663,23746.2346355689,26799.0961344602,"Historical Historical Historical"
"6","Historical","Historical","Historical",2007,22520.9184397835,24764.1279055627,27757.2670340369,"Historical Historical Historical"
"7","Historical","Historical","Historical",2008,23522.3780166658,25807.7954195156,28966.5187710991,"Historical Historical Historical"
"8","Historical","Historical","Historical",2009,24256.4447398489,26724.2071466682,30015.9528697903,"Historical Historical Historical"
"9","Historical","Historical","Historical",2010,25118.775575731,27716.9682956187,31263.4366766284,"Historical Historical Historical"
"10","Historical","Historical","Historical",2011,26281.7545777274,28950.8848357376,32675.4783766459,"Historical Historical Historical"
"11","Historical","Historical","Historical",2012,27506.2149182628,30360.0344487817,34213.9777373892,"Historical Historical Historical"
"12","Historical","Historical","Historical",2013,29319.1924567767,32293.3368937044,36381.6672242382,"Historical Historical Historical"
"13","Historical","Historical","Historical",2014,31021.8884487596,34105.257624682,38429.7113205513,"Historical Historical Historical"
"14","Historical","Historical","Historical",2015,33526.7635449314,36848.2571892345,41341.1701756551,"Historical Historical Historical"
"15","Historical","Historical","Historical",2016,35130.528145388,38616.7477956003,43398.7484104818,"Historical Historical Historical"
"16","Historical","Historical","Historical",2017,37173.0107563134,40985.8768353242,45912.8565452866,"Historical Historical Historical"
"17","Historical","Historical","Historical",2018,39523.6455854053,43586.4460847387,48982.5070187548,"Historical Historical Historical"
"18","Historical","Historical","Historical",2019,41388.0586423831,45742.3373502752,51229.0876055847,"Historical Historical Historical"
"19","Historical","Historical","Historical",2020,42423.1366839786,47111.5088922784,52994.6976813858,"Historical Historical Historical"
"20","Historical","Historical","Historical",2021,44434.248441944,49373.9678855111,55831.5713246701,"Historical Historical Historical"
"21","Historical","Historical","Historical",2022,45109.0275679861,50464.6727427189,57229.6978665966,"Historical Historical Historical"
"22","Historical","Historical","Historical",2023,46823.6568620758,52398.1300778224,59610.8285187024,"Historical Historical Historical"
"23","Historical","Historical","Historical",2024,48710.1677850344,54822.8516988485,62545.7458715327,"Historical Historical Historical"
"24","Historical","Historical","Historical",2025,51055.949391493,57615.1420977393,65775.209773393,"Historical Historical Historical"
"25","0","Historical","Mean of historical",2025,51055.75,57614.5,65776.05,"0 Historical Mean of historical"
